"Observations","count","prop","win_start","win_end","win_days","region","regname"
"13",7,0.00594227504244482,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"14",10,0.00848896434634975,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"15",2,0.00169779286926995,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"16",2,0.00169779286926995,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"17",2,0.00169779286926995,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"18",1,0.000848896434634975,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"19",1,0.000848896434634975,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"2",223,0.189303904923599,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"21",1,0.000848896434634975,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"22",1,0.000848896434634975,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"3",164,0.139219015280136,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"4",142,0.120543293718166,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"5",93,0.0789473684210526,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"6",80,0.067911714770798,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"7",51,0.0432937181663837,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"8",44,0.0373514431239389,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"9",26,0.0220713073005093,"2007-01-01","2017-01-01",3653,3,"Rest of North Island"
"1",293,0.257017543859649,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"10",20,0.0175438596491228,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"11",12,0.0105263157894737,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"12",14,0.012280701754386,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"13",3,0.00263157894736842,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"14",6,0.00526315789473684,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"15",3,0.00263157894736842,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"16",4,0.00350877192982456,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"17",1,0.00087719298245614,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"18",2,0.00175438596491228,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"2",205,0.179824561403509,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"3",176,0.154385964912281,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"4",131,0.114912280701754,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"5",83,0.0728070175438597,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"6",70,0.0614035087719298,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"7",58,0.0508771929824561,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"8",35,0.0307017543859649,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"9",24,0.0210526315789474,"2008-01-01","2017-01-01",3288,3,"Rest of North Island"
"1",295,0.274418604651163,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
