"servper","ntype","rtype","n"
"2017Q1","target","landlords",1387
"2017Q2","target","landlords",1396
"2017Q3","target","landlords",1388
"2017Q4","target","landlords",1378
"2000Q2","with price change","dwellings",294
"2000Q3","with price change","dwellings",297
"2000Q4","with price change","dwellings",259
"2001Q1","with price change","dwellings",300
"2001Q3","with price change","dwellings",266
"2001Q4","with price change","dwellings",261
"2002Q1","with price change","dwellings",303
"2002Q2","with price change","dwellings",307
"2002Q3","with price change","dwellings",278
"2002Q4","with price change","dwellings",266
"2003Q1","with price change","dwellings",258
"2003Q2","with price change","dwellings",223
"2003Q3","with price change","dwellings",228
"2003Q4","with price change","dwellings",214
"2004Q1","with price change","dwellings",220
"2004Q2","with price change","dwellings",201
"2004Q3","with price change","dwellings",213
"2004Q4","with price change","dwellings",202
"2005Q1","with price change","dwellings",189
"2005Q2","with price change","dwellings",200
"2005Q3","with price change","dwellings",209
"2005Q4","with price change","dwellings",169
"2006Q1","with price change","dwellings",166
"2006Q2","with price change","dwellings",170
"2006Q3","with price change","dwellings",254
"2006Q4","with price change","dwellings",263
"2007Q1","with price change","dwellings",297
"2007Q2","with price change","dwellings",292
"2007Q3","with price change","dwellings",366
"2007Q4","with price change","dwellings",302
"2008Q1","with price change","dwellings",441
"2008Q2","with price change","dwellings",352
"2008Q3","with price change","dwellings",384
"2008Q4","with price change","dwellings",367
"2009Q1","with price change","dwellings",411
"2009Q2","with price change","dwellings",318
"2009Q3","with price change","dwellings",366
"2009Q4","with price change","dwellings",323
"2010Q1","with price change","dwellings",425
"2010Q2","with price change","dwellings",389
"2010Q3","with price change","dwellings",406
"2010Q4","with price change","dwellings",401
"2011Q1","with price change","dwellings",422
"2011Q2","with price change","dwellings",416
"2011Q3","with price change","dwellings",442
"2011Q4","with price change","dwellings",354
"2012Q1","with price change","dwellings",466
"2012Q3","with price change","dwellings",423
"2012Q4","with price change","dwellings",371
"2013Q1","with price change","dwellings",453
"2013Q2","with price change","dwellings",429
"2013Q3","with price change","dwellings",443
"2013Q4","with price change","dwellings",389
"2014Q1","with price change","dwellings",425
"2014Q2","with price change","dwellings",393
"2014Q3","with price change","dwellings",464
"2014Q4","with price change","dwellings",391
"2015Q1","with price change","dwellings",465
"2015Q2","with price change","dwellings",485
"2015Q3","with price change","dwellings",454
"2015Q4","with price change","dwellings",393
"2016Q1","with price change","dwellings",418
"2016Q2","with price change","dwellings",444
"2016Q3","with price change","dwellings",491
"2016Q4","with price change","dwellings",337
"2017Q1","with price change","dwellings",444
"2017Q2","with price change","dwellings",486
"2017Q3","with price change","dwellings",453
"2017Q4","with price change","dwellings",393
"2000Q2","with price change","landlords",238
"2000Q3","with price change","landlords",241
"2000Q4","with price change","landlords",225
"2001Q1","with price change","landlords",249
"2001Q3","with price change","landlords",223
"2001Q4","with price change","landlords",191
"2002Q1","with price change","landlords",229
"2002Q2","with price change","landlords",213
"2002Q3","with price change","landlords",221
"2002Q4","with price change","landlords",199
"2003Q1","with price change","landlords",203
"2003Q2","with price change","landlords",181
"2003Q3","with price change","landlords",178
"2003Q4","with price change","landlords",173
"2004Q1","with price change","landlords",166
"2004Q2","with price change","landlords",157
"2004Q3","with price change","landlords",136
"2004Q4","with price change","landlords",145
"2005Q1","with price change","landlords",122
"2005Q2","with price change","landlords",145
"2005Q3","with price change","landlords",122
"2005Q4","with price change","landlords",93
"2006Q1","with price change","landlords",117
"2006Q2","with price change","landlords",101
"2006Q3","with price change","landlords",138
"2006Q4","with price change","landlords",190
"2007Q1","with price change","landlords",219
"2007Q2","with price change","landlords",213
"2007Q3","with price change","landlords",243
"2007Q4","with price change","landlords",219
"2008Q1","with price change","landlords",301
"2008Q2","with price change","landlords",238
"2008Q3","with price change","landlords",256
"2008Q4","with price change","landlords",257
"2009Q1","with price change","landlords",294
"2009Q2","with price change","landlords",248
"2009Q3","with price change","landlords",260
"2009Q4","with price change","landlords",252
"2010Q1","with price change","landlords",296
"2010Q2","with price change","landlords",284
"2010Q3","with price change","landlords",246
"2010Q4","with price change","landlords",270
"2011Q1","with price change","landlords",309
"2011Q2","with price change","landlords",276
"2011Q3","with price change","landlords",261
"2011Q4","with price change","landlords",255
"2012Q1","with price change","landlords",303
"2012Q3","with price change","landlords",285
"2012Q4","with price change","landlords",265
"2013Q1","with price change","landlords",314
"2013Q2","with price change","landlords",297
"2013Q3","with price change","landlords",278
"2013Q4","with price change","landlords",272
"2014Q1","with price change","landlords",296
"2014Q2","with price change","landlords",300
"2014Q3","with price change","landlords",290
"2014Q4","with price change","landlords",274
"2015Q1","with price change","landlords",305
"2015Q2","with price change","landlords",339
"2015Q3","with price change","landlords",301
"2015Q4","with price change","landlords",277
"2016Q1","with price change","landlords",321
"2016Q2","with price change","landlords",328
"2016Q3","with price change","landlords",297
"2016Q4","with price change","landlords",248
"2017Q1","with price change","landlords",302
"2017Q2","with price change","landlords",326
"2017Q3","with price change","landlords",295
"2017Q4","with price change","landlords",280
