"Observations","count","prop","win_start","win_end","win_days","region"
"13",7,0.000151715468475693,"1993-01-01","2000-01-01",2556,"Wellington"
"14",2,4.33472767073409e-05,"1993-01-01","2000-01-01",2556,"Wellington"
"15",2,4.33472767073409e-05,"1993-01-01","2000-01-01",2556,"Wellington"
"16",1,2.16736383536704e-05,"1993-01-01","2000-01-01",2556,"Wellington"
"2",10518,0.227963328203906,"1993-01-01","2000-01-01",2556,"Wellington"
"3",6819,0.147792539933679,"1993-01-01","2000-01-01",2556,"Wellington"
"4",4260,0.092329699386636,"1993-01-01","2000-01-01",2556,"Wellington"
"5",2661,0.057673551659117,"1993-01-01","2000-01-01",2556,"Wellington"
"6",1453,0.0314917965278831,"1993-01-01","2000-01-01",2556,"Wellington"
"7",868,0.0188127180909859,"1993-01-01","2000-01-01",2556,"Wellington"
"8",499,0.0108151455384815,"1993-01-01","2000-01-01",2556,"Wellington"
"9",230,0.0049849368213442,"1993-01-01","2000-01-01",2556,"Wellington"
"1",18203,0.4217953471128,"1994-01-01","2000-01-01",2191,"Wellington"
"10",44,0.00101955695615905,"1994-01-01","2000-01-01",2191,"Wellington"
"11",18,0.000417091482065066,"1994-01-01","2000-01-01",2191,"Wellington"
"12",8,0.000185373992028918,"1994-01-01","2000-01-01",2191,"Wellington"
"13",3,6.95152470108444e-05,"1994-01-01","2000-01-01",2191,"Wellington"
"14",1,2.31717490036148e-05,"1994-01-01","2000-01-01",2191,"Wellington"
"15",1,2.31717490036148e-05,"1994-01-01","2000-01-01",2191,"Wellington"
"2",10221,0.236838446565947,"1994-01-01","2000-01-01",2191,"Wellington"
"3",6452,0.149504124571323,"1994-01-01","2000-01-01",2191,"Wellington"
"4",3741,0.0866855130225229,"1994-01-01","2000-01-01",2191,"Wellington"
"5",2230,0.051673000278061,"1994-01-01","2000-01-01",2191,"Wellington"
"6",1189,0.027551209565298,"1994-01-01","2000-01-01",2191,"Wellington"
"7",617,0.0142969691352303,"1994-01-01","2000-01-01",2191,"Wellington"
"8",306,0.00709055519510613,"1994-01-01","2000-01-01",2191,"Wellington"
"9",122,0.002826953378441,"1994-01-01","2000-01-01",2191,"Wellington"
"1",17877,0.449566201433421,"1995-01-01","2000-01-01",1826,"Wellington"
"10",12,0.0003017729158808,"1995-01-01","2000-01-01",1826,"Wellington"
"11",8,0.000201181943920533,"1995-01-01","2000-01-01",1826,"Wellington"
"12",4,0.000100590971960267,"1995-01-01","2000-01-01",1826,"Wellington"
"2",9787,0.246120960643782,"1995-01-01","2000-01-01",1826,"Wellington"
"3",5786,0.145504840940526,"1995-01-01","2000-01-01",1826,"Wellington"
"4",3264,0.0820822331195775,"1995-01-01","2000-01-01",1826,"Wellington"
"5",1730,0.0435055953728153,"1995-01-01","2000-01-01",1826,"Wellington"
"6",763,0.0191877279014208,"1995-01-01","2000-01-01",1826,"Wellington"
"7",342,0.00860052810260279,"1995-01-01","2000-01-01",1826,"Wellington"
"8",138,0.0034703885326292,"1995-01-01","2000-01-01",1826,"Wellington"
"9",54,0.0013579781214636,"1995-01-01","2000-01-01",1826,"Wellington"
"1",17192,0.482962047363542,"1996-01-01","2000-01-01",1461,"Wellington"
"10",5,0.00014046127482653,"1996-01-01","2000-01-01",1461,"Wellington"
"2",9096,0.255527151164424,"1996-01-01","2000-01-01",1461,"Wellington"
"3",5063,0.142231086889345,"1996-01-01","2000-01-01",1461,"Wellington"
"4",2557,0.0718318959462876,"1996-01-01","2000-01-01",1461,"Wellington"
"5",1081,0.0303677276174959,"1996-01-01","2000-01-01",1461,"Wellington"
"6",392,0.0110121639464,"1996-01-01","2000-01-01",1461,"Wellington"
"7",148,0.0041576537348653,"1996-01-01","2000-01-01",1461,"Wellington"
"8",50,0.0014046127482653,"1996-01-01","2000-01-01",1461,"Wellington"
"9",13,0.000365199314548979,"1996-01-01","2000-01-01",1461,"Wellington"
"1",16307,0.531969726626215,"1997-01-01","2000-01-01",1095,"Wellington"
"2",8303,0.270861877732107,"1997-01-01","2000-01-01",1095,"Wellington"
"3",3896,0.127095974424219,"1997-01-01","2000-01-01",1095,"Wellington"
"4",1533,0.050009786651008,"1997-01-01","2000-01-01",1095,"Wellington"
"5",445,0.0145168656619038,"1997-01-01","2000-01-01",1095,"Wellington"
"6",128,0.00417563776342402,"1997-01-01","2000-01-01",1095,"Wellington"
"7",34,0.00110915378090951,"1997-01-01","2000-01-01",1095,"Wellington"
"8",8,0.000260977360214001,"1997-01-01","2000-01-01",1095,"Wellington"
"1",15543,0.629551622179918,"1998-01-01","2000-01-01",730,"Wellington"
